Entry,Finishing Position,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,FinalFour1,FinalFour2,FinalFour3,FinalFour4,Finalist1,Finalist2,Champ
Sanjita Mamacita,2.5
The Furst,2.5
Jeff Miller,2.5
javiiiiii,2.5
BMahoney,2.5
DLee's Bracket,2.5
Feirman 3,2.5
Boom Boom Room,2.5
Uzo's Winner,2.5
Iron Lion Zion,2.5
MASNYC,2.5
The Devil Wears Nada,2.5
HailTheBison,2.5
Corner Pocket,2.5
BigJohn,2.5
Corndog,2.5
THE CUSE IS LOOSE,2.5
George Barton,2.5
Nova 2 of 3,2.5
TheStable,2.5
Abrams,2.5
cuttin' down the nets,2.5
DSW Sneaker Blowout,2.5
Your Hero,2.5
Where is my money,2.5
Holden It Down.,2.5
Feirman 1,2.5
Rui Gooey,2.5
riz1,2.5
Road to Zion,2.5
Self Defecating,2.5
Random morgy,2.5
TiGo,2.5
bos2,3,1 Duke,2 Michigan State,1 Gonzaga,3 Texas Tech,1 Virginia,3 Purdue,5 Auburn,2 Kentucky,2 Michigan State, , , , , , 
Beilein Or Bust,3
What the Hell,3
Shez1,3
Feirman 2,3,1 Duke,2 Michigan State,1 Gonzaga,3 Texas Tech,1 Virginia,3 Purdue,5 Auburn,2 Kentucky, , , ,5 Auburn, ,5 Auburn, 
Sara wins!,3
PlayingBlind,3
Zion National Park,3
ThisonesforPnut,3
bos1,3,1 Duke,2 Michigan State,1 Gonzaga,3 Texas Tech,1 Virginia,3 Purdue,5 Auburn,2 Kentucky, ,1 Gonzaga, , ,1 Gonzaga, , 
MiamiGotFucked,3,1 Duke,2 Michigan State,1 Gonzaga,3 Texas Tech,1 Virginia,3 Purdue,5 Auburn,2 Kentucky,2 Michigan State, , , ,2 Michigan State, , 
Banana,3
Larry's bracket,3
Kyle Wall,3
KathDog,3
Larry G,3,1 Duke,2 Michigan State,1 Gonzaga,3 Texas Tech,1 Virginia,3 Purdue,5 Auburn,2 Kentucky,1 Duke,3 Texas Tech,3 Purdue,2 Kentucky,1 Duke,2 Kentucky,1 Duke
I think I'm dying here,3
Mrs.bos'bracket,3
Not a Bracket,3
Three Orange Whips,3
Operation Varsity Blues,3,1 Duke,2 Michigan State,1 Gonzaga,3 Texas Tech,1 Virginia,3 Purdue,5 Auburn,2 Kentucky, , , ,2 Kentucky, , , 
NotAWinner,3,1 Duke,2 Michigan State,1 Gonzaga,3 Texas Tech,1 Virginia,3 Purdue,5 Auburn,2 Kentucky,2 Michigan State, ,3 Purdue,2 Kentucky, ,2 Kentucky, 
Anna E.,3
2PEAT,3
Brexitball,3,1 Duke,2 Michigan State,1 Gonzaga,3 Texas Tech,1 Virginia,3 Purdue,5 Auburn,2 Kentucky,1 Duke,1 Gonzaga,3 Purdue,2 Kentucky,1 Duke,2 Kentucky,1 Duke
BuyUsAWinner,3
This Year Though...,3
wrinkled balls,3
Red Raider Quaker,3
Bet They Got S.C.M.O.D.S.,3
Bulldogs Arf 1,3,1 Duke,2 Michigan State,1 Gonzaga,3 Texas Tech,1 Virginia,3 Purdue,5 Auburn,2 Kentucky,2 Michigan State,1 Gonzaga, ,2 Kentucky,1 Gonzaga, ,1 Gonzaga
Tim Apple,3
LETS GO BU!,3,1 Duke,2 Michigan State,1 Gonzaga,3 Texas Tech,1 Virginia,3 Purdue,5 Auburn,2 Kentucky,2 Michigan State, ,1 Virginia, ,2 Michigan State,1 Virginia,1 Virginia
Danielle Iserlis,3,1 Duke,2 Michigan State,1 Gonzaga,3 Texas Tech,1 Virginia,3 Purdue,5 Auburn,2 Kentucky,1 Duke,1 Gonzaga,3 Purdue, ,1 Gonzaga,3 Purdue,1 Gonzaga
Go SUNY Tech,3
Ckillar1,3,1 Duke,2 Michigan State,1 Gonzaga,3 Texas Tech,1 Virginia,3 Purdue,5 Auburn,2 Kentucky,2 Michigan State,3 Texas Tech,1 Virginia,5 Auburn,3 Texas Tech,5 Auburn,3 Texas Tech
Gimme the loot,3
gsuss,3
My Bracket Sucks,3
DLee's Wife's Mount Zion,3
Julie M,3
Dan G.,3
AS1's Pool,3
Gene's Picks,3,1 Duke,2 Michigan State,1 Gonzaga,3 Texas Tech,1 Virginia,3 Purdue,5 Auburn,2 Kentucky, , ,1 Virginia, , ,1 Virginia,1 Virginia
Yogi Bear,3
Shez 2,3
Corliss > Zion,3
west coast best coast,3
My Toddlers Picks,3
Sprinkles,3
PapaBias,3
Bulldogs Arf #2,3,1 Duke,2 Michigan State,1 Gonzaga,3 Texas Tech,1 Virginia,3 Purdue,5 Auburn,2 Kentucky, , ,1 Virginia, , ,1 Virginia,1 Virginia
Sydney's College Fund,3
qvollmert,3
uclakav,3
Geoffs winners,3
Sprague The Whisperer,3
Coach Kroojawoowski,3
Disco Pants and Haircuts,3,1 Duke,2 Michigan State,1 Gonzaga,3 Texas Tech,1 Virginia,3 Purdue,5 Auburn,2 Kentucky,1 Duke,1 Gonzaga,1 Virginia,5 Auburn,1 Gonzaga,1 Virginia,1 Virginia
Team ODB2,3
cbirn,3
Skinnyjam,3
Dat Bracket Doe,3
Geoff pool 2,3
Eric M Entry,3
GoDucks,3,1 Duke,2 Michigan State,1 Gonzaga,3 Texas Tech,1 Virginia,3 Purdue,5 Auburn,2 Kentucky, , , ,2 Kentucky, ,2 Kentucky,2 Kentucky
